rok;wartosc;typ_informacji
1999;119;na 1 mieszkanca  [zl]
2000;125;na 1 mieszkanca  [zl]
2001;127;na 1 mieszkanca  [zl]
2002;118;na 1 mieszkanca  [zl]
2003;119;na 1 mieszkanca  [zl]
2004;135;na 1 mieszkanca  [zl]
2005;146;na 1 mieszkanca  [zl]
2006;155;na 1 mieszkanca  [zl]
2007;175;na 1 mieszkanca  [zl]
2008;202;na 1 mieszkanca  [zl]
2009;238;na 1 mieszkanca  [zl]
2010;270;na 1 mieszkanca  [zl]
2011;303;na 1 mieszkanca  [zl]
2012;372;na 1 mieszkanca  [zl]
2013;375;na 1 mieszkanca  [zl]
2014;420;na 1 mieszkanca  [zl]
2015;470;na 1 mieszkanca  [zl]
2016;467;na 1 mieszkanca  [zl]
2017;536;na 1 mieszkanca  [zl]
2018;668;na 1 mieszkanca  [zl]
2019;789;na 1 mieszkanca  [zl]
2020;849;na 1 mieszkanca  [zl]
2021;992;na 1 mieszkanca  [zl]
2022;1182;na 1 mieszkanca  [zl]
