rok;rodzaj;wartosc;typ_informacji
2015;stacjonarne;237902;[osoba]
2015;niestacjonarne;157290;[osoba]
2015;Ogółem;395192;[osoba]
2016;stacjonarne;231734;[osoba]
2016;niestacjonarne;132885;[osoba]
2016;Ogółem;364619;[osoba]
2017;stacjonarne;250976;[osoba]
2017;niestacjonarne;136555;[osoba]
2017;Ogółem;387531;[osoba]
2018;stacjonarne;218035;[osoba]
2018;niestacjonarne;109679;[osoba]
2018;Ogółem;327714;[osoba]
2019;stacjonarne;208672;[osoba]
2019;niestacjonarne;105175;[osoba]
2019;Ogółem;313847;[osoba]
2020;stacjonarne;192163;[osoba]
2020;niestacjonarne;101273;[osoba]
2020;Ogółem;293436;[osoba]
2021;stacjonarne;195411;[osoba]
2021;niestacjonarne;101957;[osoba]
2021;Ogółem;297368;[osoba]
2022;stacjonarne;188443;[osoba]
2022;niestacjonarne;104162;[osoba]
2022;Ogółem;292605;[osoba]
